+----------------------------------------------+------------------+------------------+------------------+---------+-----------+----------+
| identity                                     | G1 avg (795-797) | G2 avg (805-807) | G3 avg (823-825) | G1→G2 % | G2→G3 %   | G1→G3 %  |
| Love31pnbDJNVzZZVbtV4h2ftvTPVcBpXW11BSTCa6s  | 210436.531137    | 220884.859720    | 221819.756226    | 4.97%   | 0.42%     | 5.41%    |
| bay3wXfJsu9ds1zQBoQQ4DUwFGs3NP6q4gca9WM5G1z  | 50650.900874     | 59940.490429     | 52706.387134     | 18.34%  | -12.07%   | 4.06%    |
| 5zuNci3TV79w6zLoJZzbZujMvkVZb2FcSPhgv9aT24AK | 60718.551084     | 82166.838409     | 216509.380161    | 35.32%  | 163.50%   | 256.58%  |
| N43JWBg42ZoUFMkHsRUVbP7wGVdxaHKanqaF9BBNiFC  | 21272.662175     | 70111.131667     | 84102.715145     | 229.58% | 19.96%    | 295.36%  |
| STPTshazcjH6cZMHzQBrggFSPHXYCTRGB7ctqS1AjkH  | 32435.275495     | 42292.415756     | 91548.433993     | 30.39%  | 116.47%   | 182.25%  |
| CtzN7ysR5rX69qd168Aosbuc83mPozhi81bEHbG7ecNP | 34865.004146     | 44591.038141     | 51612.279038     | 27.90%  | 15.75%    | 48.03%   |
| gojir4WnhS7VS1JdbnanJMzaMfr4UD7KeX1ixWAHEmw  | 72246.761934     | 88112.832159     | 130780.268956    | 21.96%  | 48.42%    | 81.02%   |
| YE11a5nVJtUNqsojkphYuWc7StqBzbCeFH6BjhAAUEV  | 19491.231890     | 42322.387470     | 109390.741988    | 117.14% | 158.47%   | 461.23%  |
| soLStaCk5TiGCpeLKa9Fvv6f5JQGMa6S3uhLh826e9N  | 20340.587167     | 31519.764551     | 251709.141587    | 54.96%  | 698.58%   | 1137.47% |
| 61QB1Evn9E3noQtpJm4auFYyHSXS5FPgqKtPgwJJfEQk | 109989.422714    | 133532.416264    | 244244.759749    | 21.40%  | 82.91%    | 122.06%  |
| 3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5 | 340451.122507    | 436902.857766    | 357972.711440    | 28.33%  | -18.07%   | 5.15%    |
| 43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2 | 235833.581979    | 288052.093798    | 289569.985105    | 22.14%  | 0.53%     | 22.79%   |
| hy1oMaD3ViyJ8i6w1xjP79zAWBBaRd1zWdTW8zYXnwu  | 0.000000         | 0.000000         | 37555.261891     | n/a     | n/a       | n/a      |
| SaGAgdkowooXBrHihpmE8gsjf1dUG7n5SqnyJxYFnXJ  | 54073.316040     | 63317.710038     | 59282.607186     | 17.10%  | -6.37%    | 9.63%    |
| axy3tCRL3wmFMVG4c69rYurcf4fXhBo2RcuBj9ADnJ4  | 108877.272350    | 130607.418979    | 120752.013517    | 19.96%  | -7.55%    | 10.91%   |
| eyeYaqg9e2L6xw7YwsSLm27eWJfhLNAm6ETQm8TXNoK  | 52895.290985     | 62987.612882     | 190289.449061    | 19.08%  | 202.11%   | 259.75%  |
| Stsa15mLMK5mjvcdyKKF1stZ9QZWUNdK4Pkc87g8xD9  | 53280.283773     | 130872.796692    | 103638.645868    | 145.63% | -20.81%   | 94.52%   |
| 8uPW9msN75rfaKiwy8y8NxEX5zSk2WejtVv5YhZr3jCo | 187435.884861    | 173636.031990    | 179485.832124    | -7.36%  | 3.37%     | -4.24%   |
| AsMpvJ3DZ2Ydu1WTRMAyMH4QjSLiUG39rKzfzvtE1bWr | 250022.436329    | 250827.208953    | 249345.056567    | 0.32%   | -0.59%    | -0.27%   |
| meshRrDTME9cL2FSQ9E56EncfkZ7vL8apwcCFsw3o6Y  | 54208.978142     | 92633.241132     | 115098.140693    | 70.88%  | 24.25%    | 112.32%  |
| gridqZmeBcsUKT2Mv4M9YFHFN3tVLFb2TCtTcLD1cAd  | 240702.072735    | 275801.275748    | 265823.771707    | 14.58%  | -3.62%    | 10.44%   |
| bookoVmqw4QjVj5BbkFacouadx9M7816wyRkfM7A5Lo  | 90645.640473     | 125896.377225    | 137532.872728    | 38.89%  | 9.24%     | 51.73%   |
| ACTGYsH7bHbaSP7z9N86oLPHBThAELbGfTboc1VoFeZz | 17505.018408     | 18373.715759     | 36588.091378     | 4.96%   | 99.13%    | 109.01%  |
| wetkjRRRDrSPAzHqfVHtFDbhNnejKm5UPfkHeccFCpo  | 53417.107989     | 63369.377537     | 61448.525204     | 18.63%  | -3.03%    | 15.04%   |
| grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa  | 0.000000         | 66.671811        | 42115.070631     | n/a     | 63067.73% | n/a      |
+----------------------------------------------+------------------+------------------+------------------+---------+-----------+----------+
